Name,Account,Age,PhoneNumber,Email,City,Region,Country,Married,EducationLevel,Income,Average of Debit Transaction,Max of Debit Transaction,Sum of Debit Transaction,Count of Debit Transaction,Average of Credit Transaction,Max of Credit Transaction,Sum of Credit Transaction,Count of Credit Transaction,TotalOfLoan,TotalOfLoan(Outstanding),"GovStatus(Normal,Bankruptcy(current),Bankruptcy(past),PEP)",Anti bribery and corruption,Money laundering,Terrorist financing,Foreign Account Tax Compliance Act (FATCA),Fraud case
Dana,1.64E+12,0.6,16290127-7299,ullamcorper.Duis.cursus@sitamet.com,0.818181818,0.454545455,0.090909091,0,0,0.288881621,0.477892144,0.187923958,0.306034672,0.258357017,0.94552506,0.38651167,0.320632603,0.277819258,0.723977475,0.313792323,0.5,1,0,1,1,1
Evan,1.65E+12,0.47,16270516-1178,lobortis.Class@enim.org,0.181818182,0.181818182,0.818181818,1,1,0.699739492,0.07104401,0.304239453,0.386754506,0.253531023,0.01215557,0.279292107,0.551053869,0.007470182,0.103464239,0.139380062,0,0,0,0,1,1
Ralph,1.64E+12,0.08,16830610-4046,Ut@luctus.co.uk,0.909090909,0.727272727,0.454545455,0,0.5,0.408760277,0.87165054,0.165121231,0.291134982,0.372343209,0.032420234,0.235035896,0.124041084,0.822045217,0.072257245,0.284632563,1,0,0,1,1,1
Quincy,1.61E+12,0.18,16701003-5009,fermentum.arcu.Vestibulum@tristiquepharetraQuisque.org,0.727272727,0.272727273,0.363636364,0,0.5,0.268176333,0.067682283,0.034840041,0.118142705,0.569792876,0.788689608,0.45698752,0.926722204,0.573337957,0.096467279,0.258096628,0,1,0,0,1,0
Jared,1.61E+12,0.93,16521130-7300,Fusce@anteVivamus.ca,0.636363636,0.090909091,0.636363636,0,0,0.167830117,0.634761365,0.490135169,0.940448807,0.740517022,0.071068243,0.792876999,0.207782497,0.868243131,0.64603334,0.604949121,1,0,0,0,1,0
Stacy,1.64E+12,0.8,16561208-8608,interdum@aliquetProin.org,0.727272727,0.545454545,0.727272727,0,0,0.614200489,0.140930059,0.628118143,0.192747196,0.985456366,0.416812092,0.155415574,0.70851126,0.67815304,0.202871863,0.340002709,0.5,0,0,0,1,0
Kelly,1.60E+12,0.28,16960216-1060,vitae.risus@ultricesDuisvolutpat.com,0.545454545,0.181818182,0.818181818,1,0,0.407531041,0.993709134,0.974933735,0.922775126,0.114574222,0.852742325,0.24692747,0.134479803,0.212695694,0.129861336,0.734753897,0,1,1,0,1,1
Galvin,1.64E+12,0.56,16820526-7704,luctus.vulputate.nisi@risusNullaeget.com,0.545454545,0.363636364,0.090909091,0,0,0.200230059,0.153322089,0.957958739,0.264556367,0.980665576,0.437629418,0.337341952,0.737526594,0.750605296,0.747368134,0.931173574,1,0,0,0,1,1
Anthony,1.62E+12,0.92,16490601-8561,ipsum.sodales.purus@pretium.net,0.727272727,0.363636364,0.636363636,1,0.5,0.08382484,0.936838651,0.107378575,0.837521385,0.1113408,0.090509884,0.034410915,0.109979403,0.938215053,0.295430892,0.807638644,0.5,1,0,0,0,0
Zoe,1.63E+12,0.84,16080816-2473,vel.lectus.Cum@luctuslobortisClass.com,0.181818182,0.545454545,0.090909091,1,0,0.677038106,0.176405863,0.787082022,0.07059998,0.503801833,0.852032149,0.773978369,0.162125859,0.472480945,0.435831795,0.914645698,0.5,1,0,0,1,1
Nathan,1.66E+12,0.93,16920619-0978,nisl.elementum.purus@fringillaDonec.ca,0.454545455,0.181818182,0.727272727,0,1,0.85910029,0.038902024,0.041278138,0.288457108,0.084739071,0.15104331,0.206216169,0.547106354,0.294767498,0.052550193,0.882305912,1,1,1,1,0,0
Madison,1.68E+12,0.01,16141125-6249,molestie.tortor@Infaucibus.org,0.363636364,0.909090909,0.545454545,0,1,0.128765239,0.906851544,0.173708671,0.630254445,0.048828045,0.036616074,0.296908539,0.922630731,0.450589875,0.757370494,0.131325685,0.5,1,0,1,1,0
Jane,1.64E+12,0.9,16610429-4647,Suspendisse.aliquet@CurabiturmassaVestibulum.org,0.909090909,0.727272727,0.636363636,0,0.5,0.967746665,0.350125771,0.822022354,0.127796984,0.218963786,0.172363278,0.844558701,0.944474204,0.380147604,0.200033876,0.890796022,0,0,1,1,0,1
Theodore,1.63E+12,0.24,16661127-2581,eget.metus@Sed.net,0.727272727,1,0.636363636,0,1,0.305098508,0.950680215,0.779552013,0.004093247,0.071220206,0.774236662,0.417955978,0.329915173,0.720823766,0.662118594,0.693870956,0,1,0,1,1,1
Patrick,1.61E+12,0.42,16751017-1668,Morbi@loremfringillaornare.com,0.545454545,0.363636364,0.636363636,0,0.5,0.779572136,0.572913511,0.817586518,0.3061928,0.012763681,0.681988832,0.873161632,0.23322557,0.69776174,0.870972697,0.386730427,0,0,1,1,0,1
Amity,1.61E+12,0.98,16580817-4113,et.risus.Quisque@Fuscediam.ca,0.363636364,0.454545455,0.454545455,0,0,0.209127919,0.141332342,0.15812847,0.480142468,0.619065563,0.242146103,0.30213326,0.104106822,0.106776692,0.071469132,0.342776836,0.5,1,0,0,0,0
Elvis,1.63E+12,0.8,16130906-4911,diam.dictum@ultrices.edu,0.636363636,0.545454545,0.636363636,0,1,0.679598074,0.949115563,0.31973195,0.852471798,0.202814027,0.766429031,0.564031098,0.176179252,0.357877128,0.05369864,0.972575563,1,1,1,0,1,1
Gwendolyn,1.69E+12,0.34,16140730-7691,purus.sapien@Sed.org,0.454545455,0.636363636,0.545454545,0,1,0,0.309477062,0.162593848,0.018464167,0.969896017,0.616907375,0.947735286,0.591117922,0.499333865,0.485384048,0.734959938,0.5,1,1,0,1,0
Ignatius,1.65E+12,0,16910716-8305,Sed.eget@venenatis.org,0.272727273,0.272727273,0.363636364,0,0.5,0.26084603,0.93265758,0.806573626,0.164841393,0.584814316,0.309416241,0.804211993,0.420785508,0.77947428,0.293170159,0.637156428,0,0,1,0,0,1
Jade,1.65E+12,0.61,16961014-0684,pharetra.Quisque.ac@purusmauris.co.uk,0.181818182,0.363636364,1,0,0,0.965852063,0.586934267,0.22483743,0.674520396,0.049630794,0.761078588,0.238545161,0.329463194,0.072985526,0.763138999,0.50595666,0,0,1,0,0,1
Brianna,1.65E+12,0.07,16200821-0946,ipsum@Maecenas.ca,0.090909091,0.090909091,0.909090909,0,0.5,0.660020525,0.623658661,0.668406895,0.941514454,0.517716804,0.636800943,0.740413713,0.10082894,0.006902081,0.146756624,0.809198667,0,0,0,0,0,1
Dominic,1.62E+12,0.08,16730508-8267,Integer.aliquam@magnanec.org,0.090909091,0.636363636,0.818181818,1,0.5,0.675707374,0.053307715,0.56188782,0.293587943,0.769807748,0.66294188,0.055524638,0.944272523,0.439680084,0.282743296,0.532945889,1,0,0,0,1,1
Driscoll,1.62E+12,0.39,16241004-3349,magna@Morbisitamet.co.uk,0.818181818,0.363636364,0.727272727,0,1,0.748423985,0.595001571,0.830965668,0.73049947,0.975157941,0.961633112,0.124096074,0.69084658,0.427227127,0.885233166,0.105423499,0.5,0,0,0,1,1
Morgan,1.68E+12,0.58,16620122-4224,placerat.velit@nuncid.ca,0.636363636,0.727272727,0.727272727,1,1,0.995692037,0.584269112,0.920128434,0.143984022,0.813361011,0.076609425,0.414038989,0.952484354,0.323096921,0.473479982,0.303229439,1,0,1,0,0,0
Anastasia,1.61E+12,0.11,16510613-2854,semper@ridiculusmus.com,0.636363636,0.272727273,0.545454545,1,1,0.228491198,0.934644124,0.823625741,0.26056982,0.066075476,0.581976545,0.299417344,0.6276899,0.264305412,0.698525292,0.5262718,0.5,1,1,0,1,0
Curran,1.65E+12,0.19,16830913-3463,dictum.magna.Ut@arcuVestibulumut.com,0.727272727,0.818181818,0.818181818,1,0.5,0.267161368,0.305837068,0.765860307,0.97409401,0.483467117,0.692562693,0.468438183,0.921140875,0.318956471,0.637676322,0.67637628,0,1,1,1,1,1
Julie,1.62E+12,0.81,16320104-9685,nonummy.ultricies@metusAeneansed.net,0.454545455,1,0.181818182,1,0,0.361350129,0.791438083,0.826377012,0.747812783,0.342123325,0.82037615,0.990231538,0.881084229,0.497878883,0.592481674,0.219760934,0.5,0,1,0,0,0
Howard,1.63E+12,0.8,16830621-9570,Nulla.tincidunt.neque@enimSuspendissealiquet.ca,0.454545455,0.636363636,0.727272727,1,0,0.725451941,0.14915109,0.828705752,0.428768177,0.303084876,0.349202593,0.624341271,0.185362829,0.644709417,0.544604215,0.354133996,0.5,1,1,0,0,1
Lawrence,1.67E+12,0.11,16970101-9458,convallis.erat@egestasurnajusto.edu,0.818181818,0.636363636,0.454545455,0,1,0.981741906,0.442781252,0.947639705,0.939590138,0.375262652,0.99501907,0.786580498,0.149189284,0.24391791,0.371221802,0.644942404,0,0,0,1,0,0
Ina,1.64E+12,0.2,16270414-5313,dui.Fusce@in.net,0.545454545,0.272727273,0.545454545,1,1,0.778636112,0.62782058,0.793148858,0.045521027,0.959128693,0.691157039,0.90296833,0.545969553,0.04773877,0.436846606,0.859285637,0.5,0,0,0,0,0
Mary,1.60E+12,0.12,16760527-1753,nostra.per.inceptos@magnaa.net,0.363636364,0.727272727,0.909090909,0,0.5,0.807461121,0.601207467,0.989917758,0.425339812,0.649079728,0.424221669,0.1555883,0.608353623,0.529905726,0.245438329,0.190595215,0,0,1,1,0,1
Brendan,1.64E+12,0.15,16040613-6200,nunc.sit.amet@ettristiquepellentesque.co.uk,0.181818182,0.090909091,0.636363636,0,1,0.388539916,0.155373128,0.960677357,0.307399728,0.741241963,0.432872671,0.352905836,0.379620681,0.944696439,0.593729608,0.195812844,0,0,0,0,1,1
Fallon,1.65E+12,0.65,16151223-5019,dolor.vitae@Curae.com,0.181818182,0.363636364,0.909090909,1,0.5,0.589345122,0.386732659,0.8896748,0.479128204,0.257535705,0.360348323,0.819395723,0.607447881,0.975194019,0.955314552,0.92098054,0.5,1,1,0,1,1
Kennedy,1.60E+12,0.89,16990322-1159,ac.nulla@tellus.com,0.545454545,0.181818182,0.363636364,0,1,0.058247719,0.829833691,0.862648535,0.427658075,0.466925008,0.269812746,0.534579971,0.003377476,0.713859328,0.766917407,0.532981833,1,1,0,0,0,1
Ursula,1.68E+12,0.37,16020218-3018,augue.id.ante@euplacerat.org,0.636363636,0.545454545,0.636363636,0,0.5,0.357809029,0.119564503,0.984383366,0.417978339,0.661447729,0.27107298,0.89097243,0.648217532,0.877158781,0.890623375,0.25238535,0.5,1,0,0,1,0
Dacey,1.70E+12,0.38,16280514-4447,aliquam.adipiscing.lacus@ac.ca,0.454545455,0.181818182,0.272727273,0,1,0.93877505,0.292587043,0.697571441,0.935508323,0.550765674,0.151779884,0.855867459,0.47484021,0.758059792,0.112696533,0.528121653,0.5,0,0,0,1,0
Bertha,1.61E+12,0.43,16540112-1867,habitant.morbi@vellectusCum.ca,0.636363636,0.636363636,0.727272727,0,0.5,0.170311143,0.466294077,0.960982926,0.592092158,0.684909328,0.757586819,0.265290619,0.226849509,0.678376185,0.85570762,0.232550268,0.5,1,1,1,1,1
Cecilia,1.68E+12,0.94,16560914-0750,lorem.eu@Donec.net,0.545454545,1,0.727272727,1,0.5,0.062724843,0.343512576,0.101413088,0.95105129,0.084059629,0.291972821,0.335048628,0.048073391,0.885063486,0.221902445,0.18044691,0,0,0,1,0,1
Abigail,1.64E+12,0.9,16421103-3289,tempus.eu.ligula@feugiat.co.uk,0.363636364,0.181818182,0.909090909,1,0,0.055552423,0.782751588,0.717585681,0.657417655,0.860046772,0.045817554,0.793675443,0.487834337,0.248852962,0.318535076,0.274725932,0.5,1,0,0,0,0
Abraham,1.61E+12,0.92,16440728-5180,Phasellus.fermentum.convallis@mienimcondimentum.ca,0.818181818,0.272727273,0.272727273,1,0,0.459057436,0.196319524,0.496487137,0.495978941,0.666868867,0.907534171,0.56179209,0.661363753,0.416712763,0.371145296,0.792344077,0.5,0,0,1,1,0
Mia,1.64E+12,0.88,16670118-1403,facilisis.lorem.tristique@vehiculaetrutrum.co.uk,0.909090909,0.363636364,0.545454545,1,1,0.61436965,0.918950696,0.477039967,0.689206552,0.222321647,0.82971211,0.045165659,0.199178503,0.454829667,0.558424161,0.484614123,0.5,0,0,0,1,0
Tamekah,1.67E+12,0.1,16510910-0882,Phasellus.elit.pede@vulputate.com,0.636363636,0.818181818,0.272727273,0,0,0.015743236,0.668903384,0.755295697,0.309167867,0.800280959,0.863661938,0.876808231,0.047467799,0.697862759,0.993133032,0.126706188,0,1,0,0,1,1
Vance,1.62E+12,0.63,16660606-8556,ipsum.Curabitur.consequat@eleifend.ca,0.181818182,0.090909091,0.818181818,0,0.5,0.583447047,0.269199287,0.941062433,0.034926752,0.075393996,0.236152148,0.885647643,0.634301472,0.337709217,0.819012375,0.162966657,1,1,0,0,0,0
Lisandra,1.62E+12,0.76,16700612-0849,et.lacinia@sedorci.com,0.454545455,0.818181818,0.727272727,0,0,0.216413113,0.629454816,0.89175891,0.178929487,0.493679029,0.743335785,0.407174436,0.172622722,0.771224936,0.703687507,0.093045676,0,1,0,1,0,1
Amos,1.64E+12,0.82,16500402-0011,risus.quis.diam@in.edu,0.363636364,0.636363636,0.545454545,0,0.5,0.62210594,0.897040198,0.876549781,0.041355223,0.225831203,0.290360902,0.897896008,0.840744745,0.696433754,0.453808898,0.753241266,1,1,1,1,0,1
Ella,1.60E+12,0.72,16860205-2840,nibh.enim.gravida@ornareelitelit.net,1,0.545454545,0.272727273,0,0,0.400336066,0.899090219,0.68614258,0.479645962,0.742216911,0.283865017,0.588060104,0.648430046,0.064401467,0.811856761,0.255150097,1,1,0,1,0,1
Giselle,1.61E+12,0.54,16710930-8796,auctor@Fuscedolorquam.org,0.545454545,0.545454545,0.181818182,1,0,0.922648382,0.367124761,0.227107687,0.741059317,0.53981292,0.41975935,0.362938266,0.560254133,0.501836848,0.771354125,0.025835364,1,0,0,1,1,1
Quintessa,1.65E+12,0.76,16521005-9373,non.feugiat.nec@sollicitudincommodo.edu,0.090909091,0.272727273,0.545454545,1,0,0.979599202,0.426715577,0.108710083,0.879766562,0.40429686,0.73409331,0.513544796,0.003807852,0.865900035,0.402466953,0.19067285,0,0,0,1,1,0
Ima,1.62E+12,0.85,16010720-0503,natoque.penatibus@turpis.co.uk,0.272727273,0.090909091,0.545454545,0,1,0.713915171,0.937457592,0.242308609,0.186066516,0.671622786,0.122068876,0.016754456,0.066089564,0.848858449,0.764109477,0.771958454,0,0,1,1,1,1
Aidan,1.61E+12,0.19,16561116-6660,sodales.nisi.magna@nibhenimgravida.org,0.727272727,0.090909091,0.272727273,0,1,0.378446652,0.287021711,0.755599256,0.748251329,0.335044851,0.422259493,0.919427041,0.228941838,0.512815786,0.02952879,0.582115764,0,1,0,1,1,1
Elton,1.69E+12,0.02,16351030-7709,ornare@dolorelit.co.uk,0.181818182,0.545454545,0.545454545,0,0.5,0.181611088,0.315813893,0.296022163,0.423378926,0.380493908,0.998943786,0.616542305,0.300978211,0.231326077,0.194198282,0.701427302,1,1,1,1,0,1
Galena,1.65E+12,0.44,16650705-3772,cubilia.Curae@urna.com,0.818181818,0.454545455,0.727272727,0,0.5,0.160454704,0.434423271,0.663062738,0.042879757,0.265452495,0.389731646,0.455549486,0.556682779,0.744371657,0.086991228,0.58430764,0,1,0,0,0,0
Adena,1.61E+12,0.6,16580718-8874,id.enim.Curabitur@imperdiet.com,0.636363636,0.636363636,0.545454545,0,0.5,0.959311177,0.236285875,0.997544707,0.961340789,0.498396148,0.904378928,0.054996953,0.634893512,0.551092358,0.237762587,0.645696795,0.5,0,1,0,0,1
Felicia,1.69E+12,0.23,16180116-4037,pretium.et.rutrum@a.com,0.636363636,0.909090909,0.181818182,0,0,0.667260609,0.614395246,0.215684448,0.903482423,0.091027055,0.862525586,0.59527109,0.23355059,0.828719595,0.618091974,0.245235617,0.5,0,0,0,1,1
Rogan,1.63E+12,1,16791014-5502,accumsan.sed@dapibusgravidaAliquam.edu,0.545454545,0.545454545,0.909090909,1,0.5,0.560328398,0.160147801,0.74924786,0.310997008,0.462510549,0.266413555,0.600969165,0.126620469,0.483423599,0.285740198,0.20071669,0,1,1,1,1,0
Kirsten,1.67E+12,0.95,16770203-9046,purus.Duis@volutpatnunc.org,0.636363636,0.181818182,0.727272727,1,1,0.251147474,0.189570898,0.075550255,0.297084743,0.016183033,0.769687662,0.420178343,0.005355447,0.898572244,0.905230126,0.645531157,0,0,0,0,1,0
Ocean,1.63E+12,0.22,16161027-8762,pede.et@velitQuisquevarius.ca,0.272727273,0.363636364,0.454545455,1,1,0.952713904,0.151100977,0.197659966,0.644546141,0.70580243,0.990064257,0.157272258,0.163885838,0.413121216,0.641865476,0.088621945,0.5,1,0,1,0,1
Rhiannon,1.66E+12,0.49,16300107-0832,Quisque.varius@dictumPhasellusin.com,0.272727273,0.727272727,0.363636364,1,0.5,0.953672482,0.850789825,0.528456646,0.010253625,0.393389733,0.017500137,0.191495518,0.897850947,0.462838365,0.348850776,0.338417617,1,0,1,1,0,1
Germaine,1.65E+12,0.07,16350206-0084,feugiat@utlacusNulla.co.uk,0.545454545,0.545454545,0.272727273,0,0,0.477744071,0.403134285,0.37383418,0.498742473,0.917792752,0.73113163,0.634044345,0.997189863,0.275057041,0.093754077,0.318544933,0.5,0,1,1,1,1
Alice,1.62E+12,0.23,16811011-0239,Donec.fringilla@porttitorinterdum.net,0.545454545,0.545454545,0.545454545,1,1,0.139264489,0.937866502,0.608714857,0.813550511,0.743707633,0.145099682,0.227775759,0.739954095,0.069762383,0.226845136,0.370635724,0.5,1,0,1,0,1
Debra,1.69E+12,0.34,16981015-8726,vel.est.tempor@orciquis.ca,0.909090909,0.272727273,0.909090909,1,1,0.123780632,0.830980174,0.472668787,0.719777066,0.651462864,0.998478562,0.869161822,0.72377958,0.994787629,0.292355719,0.889217069,0.5,0,1,1,0,0
Emily,1.67E+12,0.29,16640603-9849,nec.leo@eget.com,0.272727273,1,0.363636364,0,0,1,0.46732566,0.142870914,0.920792808,0.940465407,0.822313349,0.980672156,0.273947377,0.696524556,0.078367802,0.769644105,0.5,1,1,1,1,1
Cynthia,1.63E+12,0.39,16420415-0371,mollis@velvenenatisvel.co.uk,0.090909091,0.545454545,0.909090909,1,0.5,0.431743597,0.571866267,0.778972365,0.027979607,0.623958174,0.865496334,0.719864523,0.60886575,0.347317057,0.493641274,0.987643454,0.5,0,1,0,0,0
Keegan,1.62E+12,0.19,16951118-8881,tincidunt@Fuscefermentum.edu,0.181818182,0.454545455,0.636363636,0,1,0.733819765,0.897474083,0.895412269,0.648147042,0.20701807,0.937721041,0.625890159,0.96273564,0.830242105,0.97083277,0.946543521,0,0,1,1,1,0
Virginia,1.66E+12,0.57,16790125-8405,egestas.nunc@Aliquamauctor.ca,0.363636364,0.272727273,0.818181818,1,0.5,0.968479695,0.954585987,0.641829385,0.078829335,0.106756011,0.165109554,0.451063002,0.440034734,0.900663748,0.328684142,0.195681951,0,0,0,0,1,1
Ayanna,1.68E+12,0.11,16460507-7744,diam.Sed@natoquepenatibuset.ca,0.727272727,0.545454545,0.545454545,0,0.5,0.921746191,0.907762571,0.962288871,0.759990521,0.833743177,0.302822192,0.226342792,0.632024376,0.058305665,0.103787955,0.831160168,1,1,0,1,0,1
Merritt,1.68E+12,0.13,16500911-4363,vel@tristiquealiquet.com,0.272727273,0.636363636,0.272727273,0,0.5,0.96132983,0.981884588,0.625021445,0.942538924,0.687126872,0.053221596,0.143701152,0.20685647,0.747364648,0.824718429,0.478730403,0,1,0,1,0,0
Maxwell,1.63E+12,0.69,16011029-5581,luctus@ipsumleo.com,0.909090909,0.090909091,0.454545455,0,0,0.082945203,0.450082265,0.938680827,0.074492743,0.354623059,0.894708704,0.610786057,0.167111526,0.26171491,0.093712824,0.773219694,0,0,1,1,1,0
Porter,1.63E+12,0.63,16190920-0212,nisi.nibh.lacinia@dictumeuplacerat.ca,0.727272727,0.363636364,0.090909091,0,1,0.152819911,0.198876408,0.86289288,0.603267965,0.883235674,0.850657216,0.67347333,0.441031209,0.189035193,0.488059567,0.038334364,1,0,0,0,1,0
Zephania,1.61E+12,0.34,16421215-9596,justo.eu.arcu@eleifendnec.org,0.909090909,0.545454545,0.363636364,1,0.5,0.969675098,0.743101219,0.572441209,0.339071104,0.290125541,0.441133377,0.64150969,0.450367252,0.089625018,0.479574339,0.044014253,0.5,0,1,0,0,0
Jolene,1.69E+12,0.87,16941019-5391,libero@congue.net,0.454545455,0.636363636,0.363636364,1,1,0.153383781,0.97232603,0.116721646,0.785214933,0.462145714,0.861906311,0.537535983,0.852760444,0.753658894,0.939986378,0.910895961,0,0,0,1,0,1
Jerry,1.65E+12,0.34,16010913-4155,fermentum.metus@arcu.co.uk,0.272727273,1,0.909090909,0,0.5,0.081400201,0.085323399,0.181149195,0.207295151,0.071775607,0.22355034,0.133598516,0.189479005,0.687352837,0.043028129,0.815537506,0,0,1,0,1,0
Katell,1.68E+12,0.65,16010115-3435,Cras@semper.com,0.181818182,0.454545455,0.636363636,0,0,0.665388562,0.078294429,0.857564698,0.102632888,0.041249996,0.472939511,0.276519592,0.802482639,0.359849279,0.293048748,0.899161602,0.5,1,0,1,0,0
Lamar,1.62E+12,0.88,16760427-2455,tincidunt.nunc.ac@luctusetultrices.co.uk,0.181818182,0.090909091,0.454545455,0,1,0.735579038,0.340823149,0.964454271,0.239843541,0.800382373,0.477691974,0.698350661,0.257367685,0.937552612,0.464212968,0.260393559,1,1,0,1,1,1
Hamish,1.62E+12,0.9,16910801-2221,libero.Integer.in@egestas.com,0.454545455,0.727272727,0.727272727,1,1,0.980208181,0.453792027,0.8824129,0.738026426,0.782266906,0.525013851,0.229521877,0.147673032,0.73932506,0.280189599,0.307157773,1,0,1,0,1,1
Olivia,1.67E+12,0.31,16250123-9285,mauris.Integer.sem@elitdictumeu.org,0.454545455,0.363636364,0.727272727,0,0.5,0.939936621,0.029433027,0.082825835,0.041703673,0.587510283,0.309761764,0.1522545,0.985029684,0.646760965,0.548120828,0.851215222,0,0,1,0,1,0
Desiree,1.63E+12,0.96,16440609-2991,ligula@vulputaterisus.co.uk,0.909090909,0.363636364,0.636363636,1,0.5,0.182738827,0.580951556,0.375659999,0.322488201,0.048524365,0.660061997,0.832797164,0.445930613,0.562450031,0.325103916,0.269517605,0.5,0,0,0,1,0
Barrett,1.69E+12,0.67,16601213-4877,hendrerit.consectetuer.cursus@urnaNunc.co.uk,0.454545455,0.272727273,0.909090909,0,1,0.883109853,0.743084833,0.056098349,0.997911109,0.83905379,0.488981053,0.020487749,0.137402397,0.211734318,0.651059387,0.701281357,1,1,0,0,0,0
Neil,1.68E+12,0.66,16670817-2397,nec.imperdiet@Nuncpulvinararcu.com,0.545454545,0.909090909,0.727272727,0,1,0.764787478,0.691022308,0.625780731,0.416638118,0.952703616,0.070831057,0.798439689,0.521515971,0.840701158,0.321766084,0.30261503,0,0,1,1,0,1
Brynn,1.67E+12,0.58,16230323-1548,Mauris.ut.quam@adipiscinglacusUt.edu,0.181818182,0.272727273,0.272727273,0,0,0.656986907,0.343266292,0.226541018,0.073021696,0.837515614,0.876748752,0.793992079,0.556697084,0.911353243,0.461020404,0.966743375,0,1,1,1,0,0
Darryl,1.69E+12,0.79,16810524-2351,facilisis.magna@Quisqueporttitor.net,0.181818182,0.727272727,0.818181818,1,1,0.651991023,0.952093319,0.097469778,0.66908764,0.743969931,0.346273714,0.676898971,0.685061284,0.929358302,0.263112404,0.852689892,0,1,1,0,1,1
Minerva,1.69E+12,0.48,16680121-5333,velit.Sed@egestashendrerit.com,0.272727273,0.727272727,0.636363636,1,0,0.550528346,0.344434133,0.728818144,0.925260456,0.564845186,0.252530477,0.304428154,0.153777451,0.666740728,0.764302286,0.257934042,0,1,1,1,1,0
Neville,1.68E+12,0.42,16591105-0069,Maecenas@lectuspede.ca,0.818181818,0.181818182,0.090909091,1,1,0.738443495,0.849142442,0.370484273,0.62640972,0.278181343,0.512870375,0.652030807,0.768478824,0.477430256,0.530120944,0.753660656,0,0,0,1,1,1
